Lat,Long,Species,Present,Total
55.95,-3.275,Common Carder,1,256
56.56,-2.597,a white-tailed bumblebee,1,256
50.94,0.9292,Red-tailed Bumblebee,1,255
51.1,-2.73,White/Buff-tailed Bumblebee workers,1,253
51.16,-2.829,Red-tailed Bumblebee,1,253
51.19,-2.788,Early Bumblebee,1,253
56.12,-3.14,Red-tailed Bumblebee,1,252
56.05,-2.719,Red-tailed Bumblebee,1,251
50.93,0.9319,Red-tailed Bumblebee,1,250
51.04,-2.665,Honeybee,1,249
51.16,-2.798,Common Carder,1,249
51.57,-1.312,White/Buff-tailed Bumblebee workers,1,249
56.64,-2.712,White/Buff-tailed Bumblebee workers,1,249
51.5,-3.232,White/Buff-tailed Bumblebee workers,1,248
55.78,-4.02,Buff-tailed Bumblebee,1,248
52.24,-0.06821,Common Carder,1,247
51.29,0.05814,Red-tailed Bumblebee,1,246
53.59,-3.071,Red-tailed Bumblebee,1,246
51.65,-1.868,Indet. Bee,1,245
51.57,-1.312,Common Carder,1,244
51.57,-0.1601,Common Carder,1,244
54.75,-2.014,Common Carder,1,244
56.06,-2.776,Common Carder,1,244
52.94,1.139,Buff-tailed Bumblebee,1,243
53.61,-2.861,a white-tailed bumblebee,1,243
54.14,-2.735,Common Carder,1,243
57.25,-2.729,a white-tailed bumblebee,1,243
51.16,-2.834,Common Carder,1,242
53.61,-2.861,Red-tailed Bumblebee,1,242
51.29,0.05814,Buff-tailed Bumblebee,1,240
51.29,0.05814,Common Carder,1,240
51.48,0.01162,a white-tailed bumblebee,1,239
52.45,0.9918,Buff-tailed Bumblebee,1,239
53.97,-2.454,Red-tailed Bumblebee,1,239
51.58,-1.068,Buff-tailed Bumblebee,1,238
53.95,-1.086,Common Carder,1,238
56.18,-3.35,Buff-tailed Bumblebee,1,238
51.56,-0.152,White/Buff-tailed Bumblebee workers,1,237
52.79,-4.726,Buff-tailed Bumblebee,1,237
55.92,-3.269,Honeybee,1,236
51.16,-2.829,Common Carder,1,235
52.76,0.3578,Common Carder,1,235
54.9,-1.481,a white-tailed bumblebee,1,235
50.98,-4.52,a white-tailed bumblebee,1,233
52.19,-3.996,a white-tailed bumblebee,1,233
55.99,-2.447,Indet. Bee,1,233
52.94,1.139,Common Carder,1,232
57.6,-3.61,Common Carder,1,232
51.16,-2.81,Common Carder,1,231
53.09,-1.574,Common Carder,1,231
56.16,-3.921,Common Carder,1,231
57.6,-3.61,a white-tailed bumblebee,1,231
51.08,1.17,White/Buff-tailed Bumblebee workers,1,229
53.09,-1.574,White/Buff-tailed Bumblebee workers,1,229
55.78,-4.02,Common Carder,1,229
56.22,-3.4,a white-tailed bumblebee,1,229
50.95,0.7773,Red-tailed Bumblebee,1,227
52.83,1.215,Buff-tailed Bumblebee,1,227
51.1,-2.73,Common Carder,1,226
51.38,0.6095,Early Bumblebee,1,226
53.09,-1.574,Red-tailed Bumblebee,1,226
55.95,-3.178,White/Buff-tailed Bumblebee workers,1,226
56.64,-3.807,Indet. Bee,1,226
51,0.9586,Garden Bumblebee,1,225
52.45,0.9918,White/Buff-tailed Bumblebee workers,1,224
52.53,1.32,Red-tailed Bumblebee,1,224
54.01,-0.4069,Honeybee,1,224
56.18,-3.355,a white-tailed bumblebee,1,223
50.74,-1.534,White/Buff-tailed Bumblebee workers,1,222
51.25,-1.683,Buff-tailed Bumblebee,1,222
53.04,-1.503,Honeybee,1,222
56.42,-3.47,Common Carder,1,222
52.3,0.0166,Red-tailed Bumblebee,1,221
53.23,-2.881,Common Carder,1,221
51.59,-0.02225,Buff-tailed Bumblebee,1,220
55.31,-1.887,Buff-tailed Bumblebee,1,220
50.89,-0.8342,Red-tailed Bumblebee,1,219
50.64,-1.934,Honeybee,1,217
54.21,-3.259,a white-tailed bumblebee,1,217
52.06,-2.684,White/Buff-tailed Bumblebee workers,1,216
50.8,-1.549,Honeybee,1,215
51.47,-2.16,Honeybee,1,215
51.62,0.8196,a white-tailed bumblebee,1,215
52.25,0.7335,Common Carder,1,215
51.09,-2.711,Common Carder,1,214
51.47,0.08189,Buff-tailed Bumblebee,1,214
54.75,-2.014,Honeybee,1,214
50.64,-1.934,Buff-tailed Bumblebee,1,213
51.64,-1.905,Honeybee,1,213
54.77,-2.085,White/Buff-tailed Bumblebee workers,1,213
54.86,-1.72,Honeybee,1,213
50.87,-0.6043,Red-tailed Bumblebee,1,212
51.15,-2.77,Common Carder,1,212
51.36,0.5785,Buff-tailed Bumblebee,1,211
51.36,0.5785,Common Carder,1,211
56.06,-4.227,Buff-tailed Bumblebee,1,211
53.86,-0.6317,White/Buff-tailed Bumblebee workers,1,210
57.28,-4.452,Common Carder,1,210
51.65,-1.868,Garden Bumblebee,1,208
53.95,-1.086,a white-tailed bumblebee,1,208
57.62,-3.093,Buff-tailed Bumblebee,1,208
50.73,-1.551,Red-tailed Bumblebee,1,207
51.24,-0.003106,Common Carder,1,207
