,lat,lon,index,lat,lon
393,51.19,-2.778,31181,51.2,-2.781
394,51.98,-0.2659,114568,51.97,-0.2657
395,52.9,0.5364,156936,52.9,0.5388
396,56.06,-3.431,238374,56.06,-3.431
397,55.82,-4.56,230321,55.81,-4.559
398,50.67,-3.336,6130,50.68,-3.331
399,56.56,-3.575,241708,56.56,-3.574
400,51.17,-2.827,29905,51.17,-2.817
401,51.39,-3.298,46739,51.39,-3.299
402,51.43,-0.3241,53549,51.43,-0.3237
403,53.02,-0.8849,162162,53.02,-0.892
404,50.83,0.4185,14081,50.83,0.4225
405,50.96,0.8041,20914,50.96,0.8224
406,51.6,-2.767,86205,51.6,-2.759
407,52.22,-0.1421,125242,52.22,-0.1408
408,53.99,-2.389,208728,53.97,-2.436
409,51.57,-0.1401,81376,51.57,-0.1401
410,55.81,-4.59,230626,55.82,-4.59
411,50.85,-0.9119,15384,50.85,-0.9119
412,51.05,-1.311,24166,51.05,-1.306
413,55.83,-4.694,230077,55.8,-4.656
414,55.89,-3.314,233800,55.89,-3.32
415,50.69,-3.302,6135,50.68,-3.301
416,51.51,-1.804,69960,51.52,-1.8
417,51.73,-0.6302,100034,51.73,-0.6236
418,51.77,-3.201,103044,51.77,-3.202
419,55.77,-2.025,229580,55.77,-2.015
420,56.21,-3.956,239837,56.21,-3.96
421,50.96,0.8084,20914,50.96,0.8224
422,51.16,-1.695,29566,51.16,-1.692
423,51.22,0.3314,32600,51.22,0.3342
424,51.53,-1.503,69982,51.52,-1.512
425,51.54,0.492,74469,51.53,0.4749
426,55.66,-1.957,228323,55.65,-1.976
427,56.16,-3.681,239430,56.16,-3.681
428,57.68,-3.118,245833,57.67,-3.118
429,55.98,-2.752,237452,55.99,-2.748
430,52.08,1.104,120089,52.08,1.106
431,52.26,1.624,127413,52.26,1.628
432,50.99,0.5908,22079,50.99,0.5982
433,51.64,-1.389,92194,51.64,-1.394
434,51.42,-1.146,51351,51.42,-1.148
435,50.68,-1.154,6230,50.68,-1.148
436,50.94,0.757,20041,50.94,0.76
437,51.23,-3.866,32713,51.23,-3.866
438,51.36,-0.4818,43170,51.36,-0.484
439,52.12,0.3646,121549,52.12,0.3669
440,55.92,-3.232,234970,55.92,-3.234
441,53.08,-1.579,164073,53.08,-1.578
442,54.31,-2.083,212768,54.31,-2.082
443,50.93,0.9217,20496,50.95,0.9162
444,51.25,0.3172,34608,51.25,0.3127
445,51.38,0.1153,46352,51.38,0.1155
446,57.98,-3.974,246299,57.98,-3.973
447,50.52,-3.633,4397,50.52,-3.63
448,50.89,-1.279,17305,50.88,-1.278
449,51.49,0.2196,65326,51.49,0.2295
450,52.83,0.4789,155242,52.84,0.4942
451,54.46,-0.5931,213802,54.46,-0.5934
452,51.0,0.9594,22536,51.0,0.9555
453,51.08,0.7238,25733,51.08,0.7298
454,51.48,0.3188,63328,51.48,0.3188
455,53.16,-1.533,166403,53.15,-1.537
456,50.86,-0.1,16329,50.86,-0.1015
457,51.02,-3.119,23052,51.02,-3.12
458,51.07,1.025,25267,51.07,1.033
459,51.5,-0.9181,65780,51.5,-0.9205
460,53.43,-2.296,180846,53.43,-2.297
461,55.83,-4.157,231202,55.83,-4.157
462,55.89,-3.268,234211,55.9,-3.268
463,57.6,-3.599,245463,57.6,-3.608
464,51.32,-0.5621,39395,51.32,-0.5621
465,51.45,0.1744,57602,51.45,0.1743
466,52.77,0.4367,153183,52.77,0.4358
467,50.89,0.6857,17929,50.89,0.6805
468,52.58,-1.709,143403,52.58,-1.716
469,53.53,-2.106,187412,53.53,-2.106
470,52.13,-4.529,121611,52.13,-4.54
471,56.3,-3.088,240229,56.3,-3.087
472,53.82,-1.667,204597,53.82,-1.667
473,57.12,-2.168,243005,57.12,-2.168
474,51.92,-1.888,111992,51.91,-1.883
475,52.28,-1.666,127937,52.28,-1.665
476,52.28,-1.409,128013,52.28,-1.404
477,50.83,-0.1084,14035,50.83,-0.1074
478,51.15,-3.986,28972,51.15,-3.999
479,51.53,-2.614,72478,51.53,-2.609
480,55.02,-1.562,224066,55.02,-1.562
481,50.71,-1.402,6942,50.71,-1.403
482,50.87,-0.1055,16937,50.87,-0.1137
483,51.63,-2.653,90875,51.63,-2.652
484,51.75,0.09936,101879,51.75,0.09884
485,52.19,-4.398,123596,52.19,-4.394
486,52.4,-4.083,132698,52.4,-4.076
487,54.49,-1.687,214016,54.49,-1.687
488,57.68,-3.12,245833,57.67,-3.118
489,58.6,-3.382,246595,58.59,-3.383
490,50.81,-0.4544,12044,50.81,-0.4533
491,51.15,-2.741,29532,51.16,-2.744
492,51.16,-2.839,28413,51.14,-2.835
493,51.17,0.313,30142,51.17,0.3182
494,51.2,-2.69,31732,51.21,-2.69
495,51.36,0.5224,43721,51.36,0.522
496,53.28,-3.831,171590,53.28,-3.831
497,54.08,-0.4532,210288,54.08,-0.4559
498,54.09,-2.419,210684,54.11,-2.438
499,51.67,-2.147,95463,51.67,-2.161
500,51.69,-1.747,97013,51.69,-1.744
501,51.74,-1.321,100593,51.74,-1.321
502,53.13,-1.555,165723,53.13,-1.553
503,50.28,-4.81,1419,50.28,-4.81
504,51.87,-4.968,107980,51.85,-4.965
505,52.64,1.31,147404,52.64,1.31
506,51.0,0.5922,22514,51.0,0.5924
507,51.25,0.6294,35315,51.26,0.6292
508,52.4,-2.847,132719,52.4,-2.851
509,57.17,-2.094,243559,57.17,-2.094
510,57.23,-2.954,243782,57.22,-2.98
511,51.2,-3.0,31173,51.2,-2.995
512,51.32,-0.5046,39464,51.32,-0.5051
513,51.61,-4.974,90683,51.63,-4.972
514,54.99,-1.595,223374,54.99,-1.595
515,55.86,-2.96,232603,55.86,-2.962
516,55.91,-3.035,235033,55.92,-3.035
517,52.55,-2.836,142507,52.57,-2.828
518,52.95,-1.269,158960,52.95,-1.273
519,53.06,-2.979,163257,53.06,-2.979
520,53.29,-2.707,172208,53.29,-2.711
521,53.62,-2.866,193245,53.62,-2.865
522,55.93,-4.515,235573,55.94,-4.518
523,51.19,-2.122,30357,51.18,-2.111
524,52.06,-2.674,118688,52.06,-2.681
525,54.06,-1.979,210149,54.07,-1.979
526,50.93,0.7558,20041,50.94,0.76
527,51.01,0.9777,22963,51.01,0.9778
528,50.72,-3.961,7426,50.73,-3.957
529,51.06,1.021,24384,51.05,1.031
530,51.07,0.7108,25254,51.07,0.7155
531,54.15,-2.781,211088,54.14,-2.778
532,55.91,-2.885,234710,55.91,-2.886
533,50.37,-4.237,2214,50.37,-4.234
534,50.83,-1.264,13339,50.83,-1.258
535,51.18,-1.672,30375,51.18,-1.675
536,52.68,-0.02363,149586,52.68,-0.01504
537,53.1,-1.576,164846,53.1,-1.586
538,55.66,-3.479,228388,55.66,-3.475
539,55.79,-4.228,229951,55.79,-4.233
540,50.15,-5.137,547,50.16,-5.137
541,55.66,-3.774,228450,55.67,-3.774
542,55.89,-3.632,233736,55.89,-3.631
543,58.0,-3.993,246299,57.98,-3.973
544,51.11,0.2128,27077,51.11,0.2001
545,51.19,-2.086,30759,51.19,-2.097
