County,Species,CountySpecies,Agg Total,Agg Present
Carmarthenshire,Heath Bumblebee,Carmarthenshire Heath Bumblebee,1,1
Ceredigion,Heath Bumblebee,Ceredigion Heath Bumblebee,0,0
Cheshire,Heath Bumblebee,Cheshire Heath Bumblebee,0,0
Clyde Isles,Heath Bumblebee,Clyde Isles Heath Bumblebee,0,0
Conwy,Heath Bumblebee,Conwy Heath Bumblebee,0,0
County Durham,Heath Bumblebee,County Durham Heath Bumblebee,62,1
Cumberland,Heath Bumblebee,Cumberland Heath Bumblebee,9,1
Denbighshire,Heath Bumblebee,Denbighshire Heath Bumblebee,7,1
Derbyshire,Heath Bumblebee,Derbyshire Heath Bumblebee,3,1
Dorset,Heath Bumblebee,Dorset Heath Bumblebee,0,0
Dumfriesshire,Heath Bumblebee,Dumfriesshire  Heath Bumblebee,0,0
Dunbartonshire,Heath Bumblebee,Dunbartonshire Heath Bumblebee,0,0
East Cornwall,Heath Bumblebee,East Cornwall Heath Bumblebee,0,0
East Gloucestershire,Heath Bumblebee,East Gloucestershire Heath Bumblebee,0,0
East Inverness-shire,Heath Bumblebee,East Inverness-shire Heath Bumblebee,31,1
East Kent,Heath Bumblebee,East Kent Heath Bumblebee,61,1
East Lothian,Heath Bumblebee,East Lothian Heath Bumblebee,1,1
East Norfolk,Heath Bumblebee,East Norfolk Heath Bumblebee,8,1
East Perthshire,Heath Bumblebee,East Perthshire Heath Bumblebee,0,0
East Suffolk,Heath Bumblebee,East Suffolk Heath Bumblebee,0,0
East Sussex,Heath Bumblebee,East Sussex Heath Bumblebee,9,1
East Sutherland,Heath Bumblebee,East Sutherland Heath Bumblebee,0,0
Fifeshire,Heath Bumblebee,Fifeshire Heath Bumblebee,0,0
Flintshire,Heath Bumblebee,Flintshire Heath Bumblebee,0,0
Glamorganshire,Heath Bumblebee,Glamorganshire Heath Bumblebee,8,1
Gwent,Heath Bumblebee,Gwent Heath Bumblebee,0,0
Herefordshire,Heath Bumblebee,Herefordshire Heath Bumblebee,0,0
Hertfordshire,Heath Bumblebee,Hertfordshire Heath Bumblebee,0,0
Huntingdonshire,Heath Bumblebee,Huntingdonshire Heath Bumblebee,0,0
Isle of Man,Heath Bumblebee,Isle of Man Heath Bumblebee,32,1
Isle of Wight,Heath Bumblebee,Isle of Wight Heath Bumblebee,0,0
Kincardineshire,Heath Bumblebee,Kincardineshire Heath Bumblebee,0,0
Kirkudbrightshire,Heath Bumblebee,Kirkudbrightshire Heath Bumblebee,0,0
Lanarkshire,Heath Bumblebee,Lanarkshire Heath Bumblebee,5,1
Lancashire,Heath Bumblebee,Lancashire Heath Bumblebee,1,1
Leicestershire,Heath Bumblebee,Leicestershire Heath Bumblebee,0,0
Lincolnshire,Heath Bumblebee,Lincolnshire Heath Bumblebee,0,0
Linlithgow,Heath Bumblebee,Linlithgow Heath Bumblebee,1,1
Mid Perthshire,Heath Bumblebee,Mid Perthshire Heath Bumblebee,1,1
Mid-west Yorkshire,Heath Bumblebee,Mid-west Yorkshire Heath Bumblebee,7,1
Middlesex,Heath Bumblebee,Middlesex Heath Bumblebee,0,0
Midlothian,Heath Bumblebee,Midlothian Heath Bumblebee,17,1
Monmouthshire,Heath Bumblebee,Monmouthshire Heath Bumblebee,0,0
Moray,Heath Bumblebee,Moray Heath Bumblebee,14,1
North Aberdeenshire,Heath Bumblebee,North Aberdeenshire Heath Bumblebee,0,0
North Ayrshire,Heath Bumblebee,North Ayrshire Heath Bumblebee,0,0
North Devon,Heath Bumblebee,North Devon Heath Bumblebee,0,0
North Essex,Heath Bumblebee,North Essex Heath Bumblebee,0,0
North Hampshire,Heath Bumblebee,North Hampshire Heath Bumblebee,53,1
North Lanarkshire,Heath Bumblebee,North Lanarkshire Heath Bumblebee,0,0
North Lincolnshire,Heath Bumblebee,North Lincolnshire Heath Bumblebee,0,0
North Northumberland,Heath Bumblebee,North Northumberland Heath Bumblebee,0,0
North Somerset,Heath Bumblebee,North Somerset Heath Bumblebee,86,1
North Wiltshire,Heath Bumblebee,North Wiltshire Heath Bumblebee,0,0
North-east Yorkshire,Heath Bumblebee,North-east Yorkshire Heath Bumblebee,0,0
North-west Yorkshire,Heath Bumblebee,North-west Yorkshire Heath Bumblebee,1,1
Northamptonshire,Heath Bumblebee,Northamptonshire Heath Bumblebee,0,0
Northumberland,Heath Bumblebee,Northumberland Heath Bumblebee,0,0
Nottinghamshire,Heath Bumblebee,Nottinghamshire Heath Bumblebee,4,1
Orkney,Heath Bumblebee,Orkney Heath Bumblebee,0,0
Oxfordshire,Heath Bumblebee,Oxfordshire Heath Bumblebee,0,0
Pembrokeshire,Heath Bumblebee,Pembrokeshire Heath Bumblebee,1,1
Perthshire,Heath Bumblebee,Perthshire Heath Bumblebee,0,0
Radnorshire,Heath Bumblebee,Radnorshire Heath Bumblebee,0,0
Renfrewshire,Heath Bumblebee,Renfrewshire Heath Bumblebee,3,1
Roxburghshire,Heath Bumblebee,Roxburghshire Heath Bumblebee,0,0
Shropshire,Heath Bumblebee,Shropshire Heath Bumblebee,1,1
South Aberdeenshire,Heath Bumblebee,South Aberdeenshire Heath Bumblebee,2,1
South Devon,Heath Bumblebee,South Devon Heath Bumblebee,1,1
South East Yorkshire,Heath Bumblebee,South East Yorkshire Heath Bumblebee,0,0
South Ebudes,Heath Bumblebee,South Ebudes Heath Bumblebee,0,0
South Essex,Heath Bumblebee,South Essex Heath Bumblebee,2,1
South Hampshire,Heath Bumblebee,South Hampshire Heath Bumblebee,1,1
South Lanarkshire,Heath Bumblebee,South Lanarkshire Heath Bumblebee,0,0
South Lancashire,Heath Bumblebee,South Lancashire Heath Bumblebee,43,1
South Lincolnshire,Heath Bumblebee,South Lincolnshire Heath Bumblebee,0,0
South Northumberland,Heath Bumblebee,South Northumberland Heath Bumblebee,0,0
South Somerset,Heath Bumblebee,South Somerset Heath Bumblebee,0,0
South Wiltshire,Heath Bumblebee,South Wiltshire Heath Bumblebee,10,1
South-east Yorkshire,Heath Bumblebee,South-east Yorkshire Heath Bumblebee,0,0
South-west Yorkshire,Heath Bumblebee,South-west Yorkshire Heath Bumblebee,1,1
Staffordshire,Heath Bumblebee,Staffordshire Heath Bumblebee,3,1
Stirlingshire,Heath Bumblebee,Stirlingshire Heath Bumblebee,3,1
Surrey,Heath Bumblebee,Surrey Heath Bumblebee,0,0
Sussex,Heath Bumblebee,Sussex Heath Bumblebee,0,0
Warwickshire,Heath Bumblebee,Warwickshire Heath Bumblebee,0,0
West Cornwall with Scilly,Heath Bumblebee,West Cornwall with Scilly Heath Bumblebee,0,0
West Gloucestershire,Heath Bumblebee,West Gloucestershire Heath Bumblebee,0,0
West Inverness-shire,Heath Bumblebee,West Inverness-shire Heath Bumblebee,0,0
West Kent,Heath Bumblebee,West Kent Heath Bumblebee,0,0
West Lancashire,Heath Bumblebee,West Lancashire Heath Bumblebee,5,1
West Norfolk,Heath Bumblebee,West Norfolk Heath Bumblebee,0,0
West Perthshire,Heath Bumblebee,West Perthshire Heath Bumblebee,2,1
West Suffolk,Heath Bumblebee,West Suffolk Heath Bumblebee,0,0
West Sussex,Heath Bumblebee,West Sussex Heath Bumblebee,0,0
Westmorland,Heath Bumblebee,Westmorland Heath Bumblebee,0,0
Worcestershire,Heath Bumblebee,Worcestershire Heath Bumblebee,0,0
Yorkshire,Heath Bumblebee,Yorkshire Heath Bumblebee,0,0
Aberdeenshire,Early Bumblebee,Aberdeenshire Early Bumblebee,13,1
Alderney,Early Bumblebee,Alderney Early Bumblebee,1,1
Angus,Early Bumblebee,Angus Early Bumblebee,152,1
Argyll & Bute,Early Bumblebee,Argyll & Bute Early Bumblebee,1,1
Argyllshire,Early Bumblebee,Argyllshire Early Bumblebee,10,1
Ayrshire,Early Bumblebee,Ayrshire Early Bumblebee,4,1
Bedfordshire,Early Bumblebee,Bedfordshire Early Bumblebee,11,1
Berkshire,Early Bumblebee,Berkshire Early Bumblebee,88,1
Berwickshire,Early Bumblebee,Berwickshire Early Bumblebee,0,0
Buckinghamshire,Early Bumblebee,Buckinghamshire Early Bumblebee,65,1
Caernarvonshire,Early Bumblebee,Caernarvonshire Early Bumblebee,0,0
Caithness,Early Bumblebee,Caithness Early Bumblebee,62,1
Camarthenshire,Early Bumblebee,Camarthenshire Early Bumblebee,4,1
Cambridgeshire,Early Bumblebee,Cambridgeshire Early Bumblebee,165,1
Cardiganshire,Early Bumblebee,Cardiganshire Early Bumblebee,29,1
Carmarthenshire,Early Bumblebee,Carmarthenshire Early Bumblebee,65,1
Ceredigion,Early Bumblebee,Ceredigion Early Bumblebee,12,1
Cheshire,Early Bumblebee,Cheshire Early Bumblebee,99,1
Clyde Isles,Early Bumblebee,Clyde Isles Early Bumblebee,3,1
Conwy,Early Bumblebee,Conwy Early Bumblebee,8,1
County Durham,Early Bumblebee,County Durham Early Bumblebee,458,1
Cumberland,Early Bumblebee,Cumberland Early Bumblebee,29,1
Denbighshire,Early Bumblebee,Denbighshire Early Bumblebee,19,1
Derbyshire,Early Bumblebee,Derbyshire Early Bumblebee,368,1
Dorset,Early Bumblebee,Dorset Early Bumblebee,14,1
Dumfriesshire,Early Bumblebee,Dumfriesshire  Early Bumblebee,0,0
Dunbartonshire,Early Bumblebee,Dunbartonshire Early Bumblebee,0,0
East Cornwall,Early Bumblebee,East Cornwall Early Bumblebee,2,1
East Gloucestershire,Early Bumblebee,East Gloucestershire Early Bumblebee,61,1
East Inverness-shire,Early Bumblebee,East Inverness-shire Early Bumblebee,203,1
East Kent,Early Bumblebee,East Kent Early Bumblebee,1003,1
East Lothian,Early Bumblebee,East Lothian Early Bumblebee,179,1
East Norfolk,Early Bumblebee,East Norfolk Early Bumblebee,100,1
East Perthshire,Early Bumblebee,East Perthshire Early Bumblebee,6,1
East Suffolk,Early Bumblebee,East Suffolk Early Bumblebee,72,1
East Sussex,Early Bumblebee,East Sussex Early Bumblebee,332,1
East Sutherland,Early Bumblebee,East Sutherland Early Bumblebee,9,1
Fifeshire,Early Bumblebee,Fifeshire Early Bumblebee,493,1
Flintshire,Early Bumblebee,Flintshire Early Bumblebee,1,1
Glamorganshire,Early Bumblebee,Glamorganshire Early Bumblebee,94,1
Gwent,Early Bumblebee,Gwent Early Bumblebee,1,1
Herefordshire,Early Bumblebee,Herefordshire Early Bumblebee,156,1
Hertfordshire,Early Bumblebee,Hertfordshire Early Bumblebee,4,1
Huntingdonshire,Early Bumblebee,Huntingdonshire Early Bumblebee,10,1
Isle of Man,Early Bumblebee,Isle of Man Early Bumblebee,142,1
Isle of Wight,Early Bumblebee,Isle of Wight Early Bumblebee,19,1
Kincardineshire,Early Bumblebee,Kincardineshire Early Bumblebee,280,1
Kirkudbrightshire,Early Bumblebee,Kirkudbrightshire Early Bumblebee,4,1
Lanarkshire,Early Bumblebee,Lanarkshire Early Bumblebee,158,1
Lancashire,Early Bumblebee,Lancashire Early Bumblebee,13,1
Leicestershire,Early Bumblebee,Leicestershire Early Bumblebee,54,1
Lincolnshire,Early Bumblebee,Lincolnshire Early Bumblebee,12,1
Linlithgow,Early Bumblebee,Linlithgow Early Bumblebee,208,1
Mid Perthshire,Early Bumblebee,Mid Perthshire Early Bumblebee,95,1
Mid-west Yorkshire,Early Bumblebee,Mid-west Yorkshire Early Bumblebee,387,1
Middlesex,Early Bumblebee,Middlesex Early Bumblebee,141,1
Midlothian,Early Bumblebee,Midlothian Early Bumblebee,973,1
Monmouthshire,Early Bumblebee,Monmouthshire Early Bumblebee,70,1
Moray,Early Bumblebee,Moray Early Bumblebee,198,1
North Aberdeenshire,Early Bumblebee,North Aberdeenshire Early Bumblebee,45,1
North Ayrshire,Early Bumblebee,North Ayrshire Early Bumblebee,0,0
North Devon,Early Bumblebee,North Devon Early Bumblebee,236,1
North Essex,Early Bumblebee,North Essex Early Bumblebee,30,1
North Hampshire,Early Bumblebee,North Hampshire Early Bumblebee,112,1
North Lanarkshire,Early Bumblebee,North Lanarkshire Early Bumblebee,0,0
North Lincolnshire,Early Bumblebee,North Lincolnshire Early Bumblebee,4,1
North Northumberland,Early Bumblebee,North Northumberland Early Bumblebee,29,1
North Somerset,Early Bumblebee,North Somerset Early Bumblebee,2999,1
North Wiltshire,Early Bumblebee,North Wiltshire Early Bumblebee,617,1
North-east Yorkshire,Early Bumblebee,North-east Yorkshire Early Bumblebee,167,1
North-west Yorkshire,Early Bumblebee,North-west Yorkshire Early Bumblebee,22,1
Northamptonshire,Early Bumblebee,Northamptonshire Early Bumblebee,45,1
Northumberland,Early Bumblebee,Northumberland Early Bumblebee,17,1
Nottinghamshire,Early Bumblebee,Nottinghamshire Early Bumblebee,28,1
Orkney,Early Bumblebee,Orkney Early Bumblebee,1,1
Oxfordshire,Early Bumblebee,Oxfordshire Early Bumblebee,210,1
Pembrokeshire,Early Bumblebee,Pembrokeshire Early Bumblebee,125,1
Perthshire,Early Bumblebee,Perthshire Early Bumblebee,5,1
Radnorshire,Early Bumblebee,Radnorshire Early Bumblebee,61,1
Renfrewshire,Early Bumblebee,Renfrewshire Early Bumblebee,127,1
Roxburghshire,Early Bumblebee,Roxburghshire Early Bumblebee,0,0
Shropshire,Early Bumblebee,Shropshire Early Bumblebee,70,1
South Aberdeenshire,Early Bumblebee,South Aberdeenshire Early Bumblebee,188,1
South Devon,Early Bumblebee,South Devon Early Bumblebee,109,1
South East Yorkshire,Early Bumblebee,South East Yorkshire Early Bumblebee,16,1
South Ebudes,Early Bumblebee,South Ebudes Early Bumblebee,35,1
South Essex,Early Bumblebee,South Essex Early Bumblebee,187,1
South Hampshire,Early Bumblebee,South Hampshire Early Bumblebee,141,1
South Lanarkshire,Early Bumblebee,South Lanarkshire Early Bumblebee,0,0
South Lancashire,Early Bumblebee,South Lancashire Early Bumblebee,100,1
South Lincolnshire,Early Bumblebee,South Lincolnshire Early Bumblebee,0,0
South Northumberland,Early Bumblebee,South Northumberland Early Bumblebee,169,1
South Somerset,Early Bumblebee,South Somerset Early Bumblebee,41,1
South Wiltshire,Early Bumblebee,South Wiltshire Early Bumblebee,221,1
South-east Yorkshire,Early Bumblebee,South-east Yorkshire Early Bumblebee,70,1
South-west Yorkshire,Early Bumblebee,South-west Yorkshire Early Bumblebee,22,1
Staffordshire,Early Bumblebee,Staffordshire Early Bumblebee,151,1
Stirlingshire,Early Bumblebee,Stirlingshire Early Bumblebee,102,1
Surrey,Early Bumblebee,Surrey Early Bumblebee,159,1
Sussex,Early Bumblebee,Sussex Early Bumblebee,0,0
Warwickshire,Early Bumblebee,Warwickshire Early Bumblebee,92,1
West Cornwall with Scilly,Early Bumblebee,West Cornwall with Scilly Early Bumblebee,23,1
West Gloucestershire,Early Bumblebee,West Gloucestershire Early Bumblebee,83,1
West Inverness-shire,Early Bumblebee,West Inverness-shire Early Bumblebee,0,0
West Kent,Early Bumblebee,West Kent Early Bumblebee,233,1
West Lancashire,Early Bumblebee,West Lancashire Early Bumblebee,52,1
West Norfolk,Early Bumblebee,West Norfolk Early Bumblebee,290,1
West Perthshire,Early Bumblebee,West Perthshire Early Bumblebee,128,1
West Suffolk,Early Bumblebee,West Suffolk Early Bumblebee,71,1
West Sussex,Early Bumblebee,West Sussex Early Bumblebee,157,1
Westmorland,Early Bumblebee,Westmorland Early Bumblebee,31,1
Worcestershire,Early Bumblebee,Worcestershire Early Bumblebee,1,1
Yorkshire,Early Bumblebee,Yorkshire Early Bumblebee,191,1
Aberdeenshire,Garden Bumblebee,Aberdeenshire Garden Bumblebee,4,1
Alderney,Garden Bumblebee,Alderney Garden Bumblebee,0,0
Angus,Garden Bumblebee,Angus Garden Bumblebee,23,1
Argyll & Bute,Garden Bumblebee,Argyll & Bute Garden Bumblebee,3,1
Argyllshire,Garden Bumblebee,Argyllshire Garden Bumblebee,19,1
Ayrshire,Garden Bumblebee,Ayrshire Garden Bumblebee,3,1
Bedfordshire,Garden Bumblebee,Bedfordshire Garden Bumblebee,3,1
Berkshire,Garden Bumblebee,Berkshire Garden Bumblebee,47,1
Berwickshire,Garden Bumblebee,Berwickshire Garden Bumblebee,0,0
Buckinghamshire,Garden Bumblebee,Buckinghamshire Garden Bumblebee,32,1
Caernarvonshire,Garden Bumblebee,Caernarvonshire Garden Bumblebee,23,1
Caithness,Garden Bumblebee,Caithness Garden Bumblebee,19,1
Camarthenshire,Garden Bumblebee,Camarthenshire Garden Bumblebee,11,1
Cambridgeshire,Garden Bumblebee,Cambridgeshire Garden Bumblebee,79,1
Cardiganshire,Garden Bumblebee,Cardiganshire Garden Bumblebee,19,1
Carmarthenshire,Garden Bumblebee,Carmarthenshire Garden Bumblebee,50,1
Ceredigion,Garden Bumblebee,Ceredigion Garden Bumblebee,42,1
Cheshire,Garden Bumblebee,Cheshire Garden Bumblebee,34,1
Clyde Isles,Garden Bumblebee,Clyde Isles Garden Bumblebee,23,1
Conwy,Garden Bumblebee,Conwy Garden Bumblebee,1,1
County Durham,Garden Bumblebee,County Durham Garden Bumblebee,159,1
Cumberland,Garden Bumblebee,Cumberland Garden Bumblebee,7,1
Denbighshire,Garden Bumblebee,Denbighshire Garden Bumblebee,13,1
Derbyshire,Garden Bumblebee,Derbyshire Garden Bumblebee,108,1
Dorset,Garden Bumblebee,Dorset Garden Bumblebee,33,1
Dumfriesshire,Garden Bumblebee,Dumfriesshire  Garden Bumblebee,0,0
Dunbartonshire,Garden Bumblebee,Dunbartonshire Garden Bumblebee,1,1
East Cornwall,Garden Bumblebee,East Cornwall Garden Bumblebee,0,0
East Gloucestershire,Garden Bumblebee,East Gloucestershire Garden Bumblebee,13,1
East Inverness-shire,Garden Bumblebee,East Inverness-shire Garden Bumblebee,150,1
East Kent,Garden Bumblebee,East Kent Garden Bumblebee,2527,1
East Lothian,Garden Bumblebee,East Lothian Garden Bumblebee,250,1
East Norfolk,Garden Bumblebee,East Norfolk Garden Bumblebee,196,1
East Perthshire,Garden Bumblebee,East Perthshire Garden Bumblebee,4,1
East Suffolk,Garden Bumblebee,East Suffolk Garden Bumblebee,73,1
East Sussex,Garden Bumblebee,East Sussex Garden Bumblebee,432,1
East Sutherland,Garden Bumblebee,East Sutherland Garden Bumblebee,7,1
Fifeshire,Garden Bumblebee,Fifeshire Garden Bumblebee,315,1
Flintshire,Garden Bumblebee,Flintshire Garden Bumblebee,0,0
Glamorganshire,Garden Bumblebee,Glamorganshire Garden Bumblebee,116,1
Gwent,Garden Bumblebee,Gwent Garden Bumblebee,0,0
Herefordshire,Garden Bumblebee,Herefordshire Garden Bumblebee,98,1
Hertfordshire,Garden Bumblebee,Hertfordshire Garden Bumblebee,9,1
Huntingdonshire,Garden Bumblebee,Huntingdonshire Garden Bumblebee,17,1
Isle of Man,Garden Bumblebee,Isle of Man Garden Bumblebee,391,1
Isle of Wight,Garden Bumblebee,Isle of Wight Garden Bumblebee,26,1
Kincardineshire,Garden Bumblebee,Kincardineshire Garden Bumblebee,32,1
Kirkudbrightshire,Garden Bumblebee,Kirkudbrightshire Garden Bumblebee,2,1
Lanarkshire,Garden Bumblebee,Lanarkshire Garden Bumblebee,32,1
Lancashire,Garden Bumblebee,Lancashire Garden Bumblebee,52,1
Leicestershire,Garden Bumblebee,Leicestershire Garden Bumblebee,20,1
Lincolnshire,Garden Bumblebee,Lincolnshire Garden Bumblebee,13,1
Linlithgow,Garden Bumblebee,Linlithgow Garden Bumblebee,236,1
Mid Perthshire,Garden Bumblebee,Mid Perthshire Garden Bumblebee,143,1
Mid-west Yorkshire,Garden Bumblebee,Mid-west Yorkshire Garden Bumblebee,186,1
Middlesex,Garden Bumblebee,Middlesex Garden Bumblebee,33,1
Midlothian,Garden Bumblebee,Midlothian Garden Bumblebee,260,1
Monmouthshire,Garden Bumblebee,Monmouthshire Garden Bumblebee,45,1
Moray,Garden Bumblebee,Moray Garden Bumblebee,69,1
North Aberdeenshire,Garden Bumblebee,North Aberdeenshire Garden Bumblebee,75,1
North Ayrshire,Garden Bumblebee,North Ayrshire Garden Bumblebee,0,0
North Devon,Garden Bumblebee,North Devon Garden Bumblebee,99,1
North Essex,Garden Bumblebee,North Essex Garden Bumblebee,23,1
North Hampshire,Garden Bumblebee,North Hampshire Garden Bumblebee,26,1
North Lanarkshire,Garden Bumblebee,North Lanarkshire Garden Bumblebee,3,1
North Lincolnshire,Garden Bumblebee,North Lincolnshire Garden Bumblebee,0,0
North Northumberland,Garden Bumblebee,North Northumberland Garden Bumblebee,0,0
North Somerset,Garden Bumblebee,North Somerset Garden Bumblebee,1107,1
North Wiltshire,Garden Bumblebee,North Wiltshire Garden Bumblebee,280,1
North-east Yorkshire,Garden Bumblebee,North-east Yorkshire Garden Bumblebee,136,1
North-west Yorkshire,Garden Bumblebee,North-west Yorkshire Garden Bumblebee,29,1
Northamptonshire,Garden Bumblebee,Northamptonshire Garden Bumblebee,3,1
Northumberland,Garden Bumblebee,Northumberland Garden Bumblebee,42,1
Nottinghamshire,Garden Bumblebee,Nottinghamshire Garden Bumblebee,6,1
Orkney,Garden Bumblebee,Orkney Garden Bumblebee,0,0
Oxfordshire,Garden Bumblebee,Oxfordshire Garden Bumblebee,60,1
Pembrokeshire,Garden Bumblebee,Pembrokeshire Garden Bumblebee,47,1
Perthshire,Garden Bumblebee,Perthshire Garden Bumblebee,1,1
