County,Species,CountySpecies,Agg Total,Agg Present
Caithness,a white-tailed bumblebee,Caithness a white-tailed bumblebee,177,1
Camarthenshire,a white-tailed bumblebee,Camarthenshire a white-tailed bumblebee,11,1
Cambridgeshire,a white-tailed bumblebee,Cambridgeshire a white-tailed bumblebee,283,1
Cardiganshire,a white-tailed bumblebee,Cardiganshire a white-tailed bumblebee,45,1
Carmarthenshire,a white-tailed bumblebee,Carmarthenshire a white-tailed bumblebee,215,1
Ceredigion,a white-tailed bumblebee,Ceredigion a white-tailed bumblebee,210,1
Cheshire,a white-tailed bumblebee,Cheshire a white-tailed bumblebee,404,1
Clyde Isles,a white-tailed bumblebee,Clyde Isles a white-tailed bumblebee,128,1
Conwy,a white-tailed bumblebee,Conwy a white-tailed bumblebee,52,1
County Durham,a white-tailed bumblebee,County Durham a white-tailed bumblebee,586,1
Cumberland,a white-tailed bumblebee,Cumberland a white-tailed bumblebee,231,1
Denbighshire,a white-tailed bumblebee,Denbighshire a white-tailed bumblebee,214,1
Derbyshire,a white-tailed bumblebee,Derbyshire a white-tailed bumblebee,822,1
Dorset,a white-tailed bumblebee,Dorset a white-tailed bumblebee,43,1
Dumfriesshire,a white-tailed bumblebee,Dumfriesshire  a white-tailed bumblebee,171,1
Dunbartonshire,a white-tailed bumblebee,Dunbartonshire a white-tailed bumblebee,55,1
East Cornwall,a white-tailed bumblebee,East Cornwall a white-tailed bumblebee,7,1
East Gloucestershire,a white-tailed bumblebee,East Gloucestershire a white-tailed bumblebee,45,1
East Inverness-shire,a white-tailed bumblebee,East Inverness-shire a white-tailed bumblebee,326,1
East Kent,a white-tailed bumblebee,East Kent a white-tailed bumblebee,1175,1
East Lothian,a white-tailed bumblebee,East Lothian a white-tailed bumblebee,1107,1
East Norfolk,a white-tailed bumblebee,East Norfolk a white-tailed bumblebee,505,1
East Perthshire,a white-tailed bumblebee,East Perthshire a white-tailed bumblebee,45,1
East Suffolk,a white-tailed bumblebee,East Suffolk a white-tailed bumblebee,307,1
East Sussex,a white-tailed bumblebee,East Sussex a white-tailed bumblebee,553,1
East Sutherland,a white-tailed bumblebee,East Sutherland a white-tailed bumblebee,118,1
Fifeshire,a white-tailed bumblebee,Fifeshire a white-tailed bumblebee,1734,1
Flintshire,a white-tailed bumblebee,Flintshire a white-tailed bumblebee,5,1
Glamorganshire,a white-tailed bumblebee,Glamorganshire a white-tailed bumblebee,61,1
Gwent,a white-tailed bumblebee,Gwent a white-tailed bumblebee,99,1
Herefordshire,a white-tailed bumblebee,Herefordshire a white-tailed bumblebee,110,1
Hertfordshire,a white-tailed bumblebee,Hertfordshire a white-tailed bumblebee,32,1
Huntingdonshire,a white-tailed bumblebee,Huntingdonshire a white-tailed bumblebee,37,1
Isle of Man,a white-tailed bumblebee,Isle of Man a white-tailed bumblebee,495,1
Isle of Wight,a white-tailed bumblebee,Isle of Wight a white-tailed bumblebee,6,1
Kincardineshire,a white-tailed bumblebee,Kincardineshire a white-tailed bumblebee,547,1
Kirkudbrightshire,a white-tailed bumblebee,Kirkudbrightshire a white-tailed bumblebee,160,1
Lanarkshire,a white-tailed bumblebee,Lanarkshire a white-tailed bumblebee,462,1
Lancashire,a white-tailed bumblebee,Lancashire a white-tailed bumblebee,235,1
Leicestershire,a white-tailed bumblebee,Leicestershire a white-tailed bumblebee,110,1
Lincolnshire,a white-tailed bumblebee,Lincolnshire a white-tailed bumblebee,30,1
Linlithgow,a white-tailed bumblebee,Linlithgow a white-tailed bumblebee,318,1
Mid Perthshire,a white-tailed bumblebee,Mid Perthshire a white-tailed bumblebee,139,1
Mid-west Yorkshire,a white-tailed bumblebee,Mid-west Yorkshire a white-tailed bumblebee,408,1
Middlesex,a white-tailed bumblebee,Middlesex a white-tailed bumblebee,113,1
Midlothian,a white-tailed bumblebee,Midlothian a white-tailed bumblebee,1031,1
Monmouthshire,a white-tailed bumblebee,Monmouthshire a white-tailed bumblebee,133,1
Moray,a white-tailed bumblebee,Moray a white-tailed bumblebee,740,1
North Aberdeenshire,a white-tailed bumblebee,North Aberdeenshire a white-tailed bumblebee,59,1
North Ayrshire,a white-tailed bumblebee,North Ayrshire a white-tailed bumblebee,6,1
North Devon,a white-tailed bumblebee,North Devon a white-tailed bumblebee,323,1
